"행정시별(1)",행정시별(2),제주 인구(계) (명),제주 인구(남) (명),제주 인구(여) (명),한국인 세대수 (세대),한국인(계) (명),한국인(남) (명),한국인(여) (명),외국인(계) (명),외국인(남) (명),외국인(여) (명)
"제주특별자치도",소계,696657,351753,344904,293155,670989,337345,333644,25668,14408,11260
"제주시",소계,505950,254656,251294,209439,489405,245533,243872,16545,9123,7422
"제주시",한 림 읍,25080,13394,11686,10403,21365,11011,10354,3715,2383,1332
"제주시",애 월 읍,37345,19289,18056,16163,36233,18718,17515,1112,571,541
"제주시",구 좌 읍,16232,8454,7778,7723,15589,8014,7575,643,440,203
"제주시",조 천 읍,25313,13040,12273,10889,24670,12666,12004,643,374,269
"제주시",한 경 면,9405,4813,4592,4712,9037,4552,4485,368,261,107
"제주시",추 자 면,2057,1252,805,1023,1733,941,792,324,311,13
"제주시",우 도 면,1892,993,899,1007,1862,974,888,30,19,11
"제주시",일도 1동,2809,1466,1343,1564,2724,1423,1301,85,43,42
"제주시",일도 2동,33998,16667,17331,13196,33683,16565,17118,315,102,213
"제주시",이도 1동,7796,3829,3967,3645,7649,3773,3876,147,56,91
"제주시",이도 2동,50655,24859,25796,20241,49964,24554,25410,691,305,386
"제주시",삼도 1동,14005,6854,7151,5928,13854,6788,7066,151,66,85
"제주시",삼도 2동,8433,4414,4019,4081,8174,4254,3920,259,160,99
"제주시",용담 1동,7315,3755,3560,3443,7225,3714,3511,90,41,49
"제주시",용담 2동,15328,7657,7671,6437,15074,7580,7494,254,77,177
"제주시",건 입 동,9571,4937,4634,4163,9311,4774,4537,260,163,97
"제주시",화 북 동,25271,12639,12632,9586,24855,12413,12442,416,226,190
"제주시",삼 양 동,25965,13034,12931,9634,25702,12933,12769,263,101,162
"제주시",봉 개 동,5363,2782,2581,2317,5270,2740,2530,93,42,51
"제주시",아 라 동,36024,17967,18057,14065,34806,17352,17454,1218,615,603
"제주시",오 라 동,15588,7863,7725,5822,15334,7741,7593,254,122,132
"제주시",연    동,43708,21438,22270,19951,41513,20376,21137,2195,1062,1133
"제주시",노 형 동,56611,27923,28688,21670,54222,26628,27594,2389,1295,1094
"제주시",외 도 동,22108,11127,10981,8414,21801,11002,10799,307,125,182
"제주시",이 호 동,4764,2469,2295,1907,4569,2374,2195,195,95,100
"제주시",도 두 동,3314,1741,1573,1455,3186,1673,1513,128,68,60
"서귀포시",소계,190707,97097,93610,83716,181584,91812,89772,9123,5285,3838
"서귀포시",대 정 읍,23105,11383,11722,10038,21334,10392,10942,1771,991,780
"서귀포시",남 원 읍,19707,10266,9441,8492,18905,9739,9166,802,527,275
"서귀포시",성 산 읍,17338,9329,8009,7956,15557,8140,7417,1781,1189,592
"서귀포시",안 덕 면,12711,6542,6169,6182,12023,6218,5805,688,324,364
"서귀포시",표 선 면,12722,6616,6106,6067,12284,6331,5953,438,285,153
"서귀포시",송 산 동,4893,2700,2193,2044,4286,2264,2022,607,436,171
"서귀포시",정 방 동,2399,1208,1191,1302,2276,1142,1134,123,66,57
"서귀포시",중 앙 동,3798,1797,2001,2050,3705,1755,1950,93,42,51
"서귀포시",천 지 동,3656,1859,1797,1923,3544,1801,1743,112,58,54
"서귀포시",효 돈 동,5366,2723,2643,2284,5291,2676,2615,75,47,28
"서귀포시",영 천 동,5485,2836,2649,2434,5289,2705,2584,196,131,65
"서귀포시",동 홍 동,24389,11962,12427,9135,23118,11341,11777,1271,621,650
"서귀포시",서 홍 동,10559,5238,5321,4221,10433,5171,5262,126,67,59
"서귀포시",대 륜 동,14657,7390,7267,6190,14443,7292,7151,214,98,116
"서귀포시",대 천 동,14010,7099,6911,6206,13785,6997,6788,225,102,123
"서귀포시",중 문 동,11665,5996,5669,5255,11337,5825,5512,328,171,157
"서귀포시",예 래 동,4247,2153,2094,1937,3974,2023,1951,273,130,143
